"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14805958";"2";"2025-02-09 20:30:00.000";"18";"1"
"14806195";"1";"2025-02-10 12:15:00.000";"22";"1"
"14806250";"1";"2025-02-10 12:30:00.000";"33";"1"
"14806283";"1";"2025-02-10 12:30:00.000";"27";"1"
"14814626";"1";"2025-02-10 09:15:00.000";"61";"1"
"14814626";"2";"2025-02-09 13:30:00.000";"76";"1"
"14819259";"1";"2025-02-10 11:30:00.000";"30";"1"
"14819329";"1";"2025-02-10 12:30:00.000";"18";"1"
"14819576";"1";"2025-02-10 12:30:00.000";"27";"1"
"14819895";"1";"2025-02-10 11:15:00.000";"32";"1"
"14819895";"2";"2025-02-10 11:15:00.000";"39";"1"
"14820026";"1";"2025-02-10 07:45:00.000";"33";"1"
"14820026";"2";"2025-02-10 12:00:00.000";"38";"1"
"14820221";"2";"2025-02-09 14:45:00.000";"21";"1"
"14820351";"1";"2025-02-10 11:45:00.000";"38";"1"
"14820351";"2";"2025-02-09 19:30:00.000";"23";"1"
"14820400";"2";"2025-02-10 06:30:00.000";"30";"1"
"14820840";"1";"2025-02-09 16:15:00.000";"61";"1"
"14820840";"2";"2025-02-09 16:15:00.000";"71";"1"
"14821215";"1";"2025-02-10 06:45:00.000";"19";"1"
"14821215";"2";"2025-02-10 06:45:00.000";"12";"1"
"14821399";"2";"2025-02-10 06:30:00.000";"24";"1"
"14821991";"1";"2025-02-10 04:15:00.000";"7";"1"
"14821991";"2";"2025-02-09 22:15:00.000";"26";"1"
"14822033";"1";"2025-02-09 12:45:00.000";"26";"1"
"14822090";"2";"2025-02-10 07:45:00.000";"25";"1"
"14822144";"2";"2025-02-10 10:15:00.000";"32";"1"
"14822275";"1";"2025-02-10 08:00:00.000";"27";"1"
"14822336";"2";"2025-02-10 12:00:00.000";"29";"1"
"14822553";"2";"2025-02-10 08:30:00.000";"23";"1"
"14822628";"2";"2025-02-10 10:15:00.000";"26";"1"
"14824007";"2";"2025-02-09 15:30:00.000";"34";"1"
"14874346";"1";"2025-02-10 10:45:00.000";"20";"1"
"14874482";"1";"2025-02-10 12:30:00.000";"14";"1"
"14874863";"1";"2025-02-10 08:30:00.000";"12";"1"
"14874946";"1";"2025-02-10 11:45:00.000";"32";"1"
"14885583";"2";"2025-02-10 12:15:00.000";"29";"1"
"14885658";"1";"2025-02-10 11:45:00.000";"21";"1"
"14886063";"1";"2025-02-10 10:00:00.000";"27";"1"
"14886090";"1";"2025-02-10 12:15:00.000";"19";"1"
"14886131";"2";"2025-02-10 12:15:00.000";"47";"1"
"14886372";"1";"2025-02-10 10:00:00.000";"19";"1"
"14886450";"1";"2025-02-10 12:00:00.000";"19";"1"
"14886517";"1";"2025-02-10 12:30:00.000";"13";"2"
"14886589";"1";"2025-02-10 12:30:00.000";"18";"3"
"14886643";"1";"2025-02-10 11:45:00.000";"23";"1"
"14886676";"1";"2025-02-10 11:45:00.000";"33";"1"
"14886850";"1";"2025-02-10 12:30:00.000";"20";"2"
"14886877";"2";"2025-02-10 12:30:00.000";"19";"3"
"14886931";"1";"2025-02-10 12:30:00.000";"16";"3"
"14886998";"1";"2025-02-10 12:00:00.000";"20";"1"
"14886998";"2";"2025-02-10 08:00:00.000";"15";"1"
"14887029";"2";"2025-02-10 12:15:00.000";"16";"1"
"14887079";"1";"2025-02-10 11:00:00.000";"12";"1"
"14887157";"1";"2025-02-10 11:45:00.000";"25";"1"
"14887217";"1";"2025-02-10 12:30:00.000";"23";"3"
"14887276";"1";"2025-02-10 12:00:00.000";"22";"1"
"14887286";"1";"2025-02-10 11:45:00.000";"17";"1"
"14887315";"1";"2025-02-10 12:15:00.000";"17";"1"
"14887315";"2";"2025-02-10 11:15:00.000";"18";"1"
"14887331";"2";"2025-02-10 12:30:00.000";"18";"1"
"14887338";"1";"2025-02-10 12:30:00.000";"20";"2"
"14887363";"1";"2025-02-10 12:30:00.000";"6";"1"
"14887383";"1";"2025-02-09 15:15:00.000";"24";"1"
"14887427";"1";"2025-02-10 11:15:00.000";"19";"1"
